"uid" "id" "symbol" "ensembleid"
"1" 1 381 "ARF5" "9606.ENSP00000000233"
"2" 2 2101 "ESRRA" "9606.ENSP00000000442"
"3" 3 2288 "FKBP4" "9606.ENSP00000001008"
"4" 4 56603 "CYP26B1" "9606.ENSP00000001146"
"5" 5 6405 "SEMA3F" "9606.ENSP00000002829"
"6" 6 1080 "CFTR" "9606.ENSP00000003084"
"7" 7 1595 "CYP51A1" "9606.ENSP00000003100"
"8" 8 -1 "-1" "9606.ENSP00000004921"
"9" 9 5166 "PDK4" "9606.ENSP00000005178"
"10" 10 10083 "USH1C" "9606.ENSP00000005226"
"11" 11 5898 "RALA" "9606.ENSP00000005257"
"12" 12 10368 "CACNG3" "9606.ENSP00000005284"
"13" 13 1856 "DVL2" "9606.ENSP00000005340"
"14" 14 3475 "IFRD1" "9606.ENSP00000005558"
"15" 15 3207 "HOXA11" "9606.ENSP00000006015"
"16" 16 6376 "CX3CL1" "9606.ENSP00000006053"
"17" 17 1087 "CEACAM7" "9606.ENSP00000006724"
"18" 18 114881 "OSBPL7" "9606.ENSP00000007414"
"19" 19 51087 "YBX2" "9606.ENSP00000007699"
"20" 20 3675 "ITGA3" "9606.ENSP00000007722"
"21" 21 10233 "LRRC23" "9606.ENSP00000007969"
"22" 22 1407 "CRY1" "9606.ENSP00000008527"
"23" 23 57172 "CAMK1G" "9606.ENSP00000009105"
"24" 24 928 "CD9" "9606.ENSP00000009180"
"25" 25 972 "CD74" "9606.ENSP00000009530"
"26" 26 8798 "DYRK4" "9606.ENSP00000010132"
"27" 27 4257 "MGST1" "9606.ENSP00000010404"
"28" 28 6856 "SYPL1" "9606.ENSP00000011473"
"29" 29 10048 "RANBP9" "9606.ENSP00000011619"
"30" 30 920 "CD4" "9606.ENSP00000011653"
"31" 31 55200 "PLEKHG6" "9606.ENSP00000011684"
"32" 32 3097 "HIVEP2" "9606.ENSP00000012134"
"33" 33 5536 "PPP5C" "9606.ENSP00000012443"
"34" 34 4830 "NME1" "9606.ENSP00000013034"
"35" 35 11183 "MAP4K5" "9606.ENSP00000013125"
"36" 36 2067 "ERCC1" "9606.ENSP00000013807"
"37" 37 50865 "HEBP1" "9606.ENSP00000014930"
"40" 40 6344 "SCTR" "9606.ENSP00000019103"
"41" 41 10928 "RALBP1" "9606.ENSP00000019317"
"42" 42 6591 "SNAI2" "9606.ENSP00000020945"
"43" 43 2554 "GABRA1" "9606.ENSP00000023897"
"44" 44 9821 "RB1CC1" "9606.ENSP00000025008"
"45" 45 1015 "CDH17" "9606.ENSP00000027335"
"46" 46 57554 "LRRC7" "9606.ENSP00000035383"
"47" 47 11345 "GABARAPL2" "9606.ENSP00000037243"
"48" 48 3224 "HOXC8" "9606.ENSP00000040584"
"49" 49 84245 "MRI1" "9606.ENSP00000040663"
"50" 50 65078 "RTN4R" "9606.ENSP00000043402"
"51" 51 3937 "LCP2" "9606.ENSP00000046794"
"52" 52 1634 "DCN" "9606.ENSP00000052754"
"53" 53 608 "TNFRSF17" "9606.ENSP00000053243"
"54" 54 2978 "GUCA1A" "9606.ENSP00000053469"
"55" 55 2896 "GRN" "9606.ENSP00000053867"
"56" 56 9341 "VAMP3" "9606.ENSP00000054666"
"57" 57 10911 "UTS2" "9606.ENSP00000054668"
"58" 58 89801 "PPP1R3F" "9606.ENSP00000055335"
"61" 61 9603 "NFE2L3" "9606.ENSP00000056233"
"62" 62 4826 "NNAT" "9606.ENSP00000062104"
"63" 63 140689 "CBLN4" "9606.ENSP00000064571"
"64" 64 5318 "PKP2" "9606.ENSP00000070846"
"65" 65 2273 "FHL1" "9606.ENSP00000071281"
"66" 66 6515 "SLC2A3" "9606.ENSP00000075120"
"67" 67 55359 "STYK1" "9606.ENSP00000075503"
"68" 68 2767 "GNA11" "9606.ENSP00000078429"
"69" 69 84699 "CREB3L3" "9606.ENSP00000078445"
"70" 70 51564 "HDAC7" "9606.ENSP00000080059"
"71" 71 10513 "APPBP2" "9606.ENSP00000083182"
"72" 72 933 "CD22" "9606.ENSP00000085219"
"73" 73 2928 "GSC2" "9606.ENSP00000086933"
"74" 74 7544 "ZFY" "9606.ENSP00000155093"
"75" 75 3784 "KCNQ1" "9606.ENSP00000155840"
"76" 76 28951 "TRIB2" "9606.ENSP00000155926"
"77" 77 53615 "MBD3" "9606.ENSP00000156825"
"78" 78 5704 "PSMC4" "9606.ENSP00000157812"
"79" 79 84254 "CAMKK1" "9606.ENSP00000158166"
"80" 80 9744 "ACAP1" "9606.ENSP00000158762"
"81" 81 50508 "NOX3" "9606.ENSP00000159060"
"82" 82 23030 "KDM4B" "9606.ENSP00000159111"
"83" 83 3385 "ICAM3" "9606.ENSP00000160262"
"84" 84 83992 "CTTNBP2" "9606.ENSP00000160373"
"85" 85 51412 "ACTL6B" "9606.ENSP00000160382"
"86" 86 3835 "KIF22" "9606.ENSP00000160827"
"87" 87 634 "CEACAM1" "9606.ENSP00000161559"
"88" 88 -1 "-1" "9606.ENSP00000162023"
"89" 89 55810 "FOXJ2" "9606.ENSP00000162391"
"90" 90 7132 "TNFRSF1A" "9606.ENSP00000162749"
"91" 91 5526 "PPP2R5B" "9606.ENSP00000164133"
"92" 92 602 "BCL3" "9606.ENSP00000164227"
"93" 93 10272 "FSTL3" "9606.ENSP00000166139"
"94" 94 2046 "EPHA8" "9606.ENSP00000166244"
"95" 95 22846 "VASH1" "9606.ENSP00000167106"
"96" 96 3861 "KRT14" "9606.ENSP00000167586"
"97" 97 2249 "FGF4" "9606.ENSP00000168712"
"98" 98 3566 "IL4R" "9606.ENSP00000170630"
"99" 99 9817 "KEAP1" "9606.ENSP00000171111"
"100" 100 27334 "P2RY10" "9606.ENSP00000171757"
"101" 101 7145 "TNS1" "9606.ENSP00000171887"
"102" 102 4804 "NGFR" "9606.ENSP00000172229"
"103" 103 9423 "NTN1" "9606.ENSP00000173229"
"104" 104 4335 "MNT" "9606.ENSP00000174618"
"105" 105 440 "ASNS" "9606.ENSP00000175506"
"106" 106 26469 "PTPN18" "9606.ENSP00000175756"
"107" 107 1815 "DRD4" "9606.ENSP00000176183"
"108" 108 6793 "STK10" "9606.ENSP00000176763"
"109" 109 30009 "TBX21" "9606.ENSP00000177694"
"110" 110 5607 "MAP2K5" "9606.ENSP00000178640"
"111" 111 57103 "TIGAR" "9606.ENSP00000179259"
"112" 112 26281 "FGF20" "9606.ENSP00000180166"
"113" 113 1361 "CPB2" "9606.ENSP00000181383"
